time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
15:38:58,20.0,97.3,158,12,qdrant=0.04%/52.37MiB / 4.804GiB ; spark-worker=0.10%/222.1MiB / 4.804GiB ; kibana=2.43%/692.7MiB / 4.804GiB ; kafka=25.28%/348.8MiB / 4.804GiB ; spark-master=0.12%/228MiB / 4.804GiB ; elasticsearch=2.09%/1.49GiB / 4.804GiB ; zookeeper=0.75%/86.03MiB / 4.804GiB
15:39:03,22.8,97.9,163,4,qdrant=0.05%/52.37MiB / 4.804GiB ; spark-worker=0.09%/222.1MiB / 4.804GiB ; kibana=0.73%/692.7MiB / 4.804GiB ; kafka=0.78%/348.8MiB / 4.804GiB ; spark-master=0.12%/228MiB / 4.804GiB ; elasticsearch=2.97%/1.489GiB / 4.804GiB ; zookeeper=0.41%/85.95MiB / 4.804GiB
15:39:07,29.0,98.3,159,1,qdrant=0.07%/52.37MiB / 4.804GiB ; spark-worker=0.13%/222.1MiB / 4.804GiB ; kibana=43.41%/524.1MiB / 4.804GiB ; kafka=14.87%/361.8MiB / 4.804GiB ; spark-master=0.12%/228MiB / 4.804GiB ; elasticsearch=28.79%/1.49GiB / 4.804GiB ; zookeeper=0.11%/85.72MiB / 4.804GiB
15:39:11,43.8,98.7,158,2,qdrant=0.04%/52.37MiB / 4.804GiB ; spark-worker=0.09%/222.1MiB / 4.804GiB ; kibana=0.48%/524.4MiB / 4.804GiB ; kafka=0.60%/348.9MiB / 4.804GiB ; spark-master=0.10%/228MiB / 4.804GiB ; elasticsearch=1.26%/1.491GiB / 4.804GiB ; zookeeper=0.13%/85.77MiB / 4.804GiB
15:39:16,22.4,99.2,151,1,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.16%/222.1MiB / 4.804GiB ; kibana=3.32%/524.1MiB / 4.804GiB ; kafka=5.39%/348.9MiB / 4.804GiB ; spark-master=0.18%/228MiB / 4.804GiB ; elasticsearch=8.15%/1.491GiB / 4.804GiB ; zookeeper=0.15%/85.82MiB / 4.804GiB
15:39:20,71.0,99.3,167,0,qdrant=0.10%/52.37MiB / 4.804GiB ; spark-worker=0.33%/222.1MiB / 4.804GiB ; kibana=1.86%/524.1MiB / 4.804GiB ; kafka=181.69%/386.6MiB / 4.804GiB ; spark-master=0.17%/228MiB / 4.804GiB ; elasticsearch=1.97%/1.491GiB / 4.804GiB ; zookeeper=0.98%/85.83MiB / 4.804GiB
15:39:25,86.6,98.8,166,2,qdrant=0.10%/52.37MiB / 4.804GiB ; spark-worker=0.17%/222.1MiB / 4.804GiB ; kibana=1.28%/524.7MiB / 4.804GiB ; kafka=1.72%/349MiB / 4.804GiB ; spark-master=0.21%/228MiB / 4.804GiB ; elasticsearch=8.49%/1.492GiB / 4.804GiB ; zookeeper=0.94%/85.84MiB / 4.804GiB
15:39:30,88.6,99.4,159,0,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.20%/222.1MiB / 4.804GiB ; kibana=1.85%/524.8MiB / 4.804GiB ; kafka=1.18%/349MiB / 4.804GiB ; spark-master=0.17%/228MiB / 4.804GiB ; elasticsearch=16.75%/1.492GiB / 4.804GiB ; zookeeper=0.14%/85.84MiB / 4.804GiB
15:39:34,83.1,99.1,134,0,qdrant=0.14%/52.37MiB / 4.804GiB ; spark-worker=0.39%/222.1MiB / 4.804GiB ; kibana=1.55%/524.3MiB / 4.804GiB ; kafka=138.52%/420.7MiB / 4.804GiB ; spark-master=0.52%/228MiB / 4.804GiB ; elasticsearch=10.29%/1.493GiB / 4.804GiB ; zookeeper=0.80%/85.83MiB / 4.804GiB
15:39:39,75.1,99.1,134,0,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.21%/222.1MiB / 4.804GiB ; kibana=1.01%/524.5MiB / 4.804GiB ; kafka=1.21%/349MiB / 4.804GiB ; spark-master=0.17%/228.1MiB / 4.804GiB ; elasticsearch=16.39%/1.493GiB / 4.804GiB ; zookeeper=0.15%/85.84MiB / 4.804GiB
15:39:44,66.1,99.0,134,0,qdrant=0.07%/52.37MiB / 4.804GiB ; spark-worker=0.16%/222.1MiB / 4.804GiB ; kibana=1.65%/524.4MiB / 4.804GiB ; kafka=1.33%/349MiB / 4.804GiB ; spark-master=0.17%/228.1MiB / 4.804GiB ; elasticsearch=29.76%/1.494GiB / 4.804GiB ; zookeeper=0.82%/85.85MiB / 4.804GiB
15:39:49,75.6,99.0,134,0,qdrant=0.07%/52.37MiB / 4.804GiB ; spark-worker=0.15%/222.1MiB / 4.804GiB ; kibana=0.77%/524MiB / 4.804GiB ; kafka=3.77%/349.1MiB / 4.804GiB ; spark-master=0.16%/228.1MiB / 4.804GiB ; elasticsearch=2.54%/1.494GiB / 4.804GiB ; zookeeper=1.21%/85.87MiB / 4.804GiB
15:39:53,69.4,98.8,134,0,qdrant=0.15%/52.37MiB / 4.804GiB ; spark-worker=0.13%/222.1MiB / 4.804GiB ; kibana=3.25%/524.7MiB / 4.804GiB ; kafka=1.64%/349.6MiB / 4.804GiB ; spark-master=0.17%/228.1MiB / 4.804GiB ; elasticsearch=21.97%/1.495GiB / 4.804GiB ; zookeeper=0.20%/85.86MiB / 4.804GiB
15:39:58,63.8,98.9,172,3,qdrant=0.15%/52.37MiB / 4.804GiB ; spark-worker=0.11%/222.1MiB / 4.804GiB ; kibana=1.22%/524.4MiB / 4.804GiB ; kafka=1.32%/349.1MiB / 4.804GiB ; spark-master=0.17%/228.1MiB / 4.804GiB ; elasticsearch=5.83%/1.495GiB / 4.804GiB ; zookeeper=0.16%/85.85MiB / 4.804GiB
15:40:02,74.6,98.7,179,2,qdrant=0.18%/52.37MiB / 4.804GiB ; spark-worker=0.12%/222.1MiB / 4.804GiB ; kibana=6.53%/524.1MiB / 4.804GiB ; kafka=1.22%/349.1MiB / 4.804GiB ; spark-master=0.14%/228.1MiB / 4.804GiB ; elasticsearch=29.15%/1.495GiB / 4.804GiB ; zookeeper=0.16%/85.86MiB / 4.804GiB
15:40:07,60.6,98.8,150,1,qdrant=0.10%/52.37MiB / 4.804GiB ; spark-worker=0.16%/222.1MiB / 4.804GiB ; kibana=1.92%/525MiB / 4.804GiB ; kafka=1.08%/349.1MiB / 4.804GiB ; spark-master=0.18%/228.1MiB / 4.804GiB ; elasticsearch=2.90%/1.495GiB / 4.804GiB ; zookeeper=0.39%/85.86MiB / 4.804GiB
15:40:11,69.1,98.9,146,0,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.13%/222.1MiB / 4.804GiB ; kibana=1.49%/524.6MiB / 4.804GiB ; kafka=174.38%/384.5MiB / 4.804GiB ; spark-master=0.16%/228.1MiB / 4.804GiB ; elasticsearch=1.32%/1.495GiB / 4.804GiB ; zookeeper=0.19%/85.86MiB / 4.804GiB
15:40:16,88.0,98.1,134,1,qdrant=0.10%/52.37MiB / 4.804GiB ; spark-worker=0.15%/222.1MiB / 4.804GiB ; kibana=2.43%/524.7MiB / 4.804GiB ; kafka=1.12%/349.2MiB / 4.804GiB ; spark-master=0.19%/228.1MiB / 4.804GiB ; elasticsearch=5.35%/1.495GiB / 4.804GiB ; zookeeper=0.18%/85.86MiB / 4.804GiB
15:40:20,63.8,98.4,168,1,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.21%/222.1MiB / 4.804GiB ; kibana=0.91%/524.2MiB / 4.804GiB ; kafka=1.27%/349.2MiB / 4.804GiB ; spark-master=0.21%/228.1MiB / 4.804GiB ; elasticsearch=7.11%/1.495GiB / 4.804GiB ; zookeeper=0.18%/85.87MiB / 4.804GiB
15:40:25,79.0,98.0,180,28,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.18%/222.1MiB / 4.804GiB ; kibana=6.71%/525.1MiB / 4.804GiB ; kafka=195.16%/398.1MiB / 4.804GiB ; spark-master=0.16%/228.1MiB / 4.804GiB ; elasticsearch=50.95%/1.495GiB / 4.804GiB ; zookeeper=0.27%/85.86MiB / 4.804GiB
15:40:29,87.4,98.5,179,32,qdrant=0.15%/52.37MiB / 4.804GiB ; spark-worker=0.22%/222.1MiB / 4.804GiB ; kibana=1.31%/524.8MiB / 4.804GiB ; kafka=1.43%/349.3MiB / 4.804GiB ; spark-master=0.22%/228.1MiB / 4.804GiB ; elasticsearch=2.00%/1.495GiB / 4.804GiB ; zookeeper=0.98%/85.88MiB / 4.804GiB
15:40:34,86.0,97.9,180,31,qdrant=0.14%/52.37MiB / 4.804GiB ; spark-worker=0.18%/222.1MiB / 4.804GiB ; kibana=1.09%/522.9MiB / 4.804GiB ; kafka=1.35%/349.3MiB / 4.804GiB ; spark-master=0.24%/228.1MiB / 4.804GiB ; elasticsearch=52.18%/1.496GiB / 4.804GiB ; zookeeper=0.26%/85.88MiB / 4.804GiB
15:40:39,77.4,98.2,186,10,qdrant=0.09%/52.37MiB / 4.804GiB ; spark-worker=0.53%/222.1MiB / 4.804GiB ; kibana=3.19%/522.9MiB / 4.804GiB ; kafka=167.39%/431MiB / 4.804GiB ; spark-master=0.19%/228.1MiB / 4.804GiB ; elasticsearch=35.78%/1.496GiB / 4.804GiB ; zookeeper=0.20%/85.88MiB / 4.804GiB
15:40:44,73.6,98.1,194,2,qdrant=0.07%/52.45MiB / 4.804GiB ; spark-worker=0.16%/222.1MiB / 4.804GiB ; kibana=0.84%/523.4MiB / 4.804GiB ; kafka=0.89%/349.4MiB / 4.804GiB ; spark-master=0.17%/228.1MiB / 4.804GiB ; elasticsearch=1.12%/1.496GiB / 4.804GiB ; zookeeper=0.16%/85.88MiB / 4.804GiB
15:40:48,59.3,97.7,174,1,qdrant=0.14%/52.37MiB / 4.804GiB ; spark-worker=0.15%/222.2MiB / 4.804GiB ; kibana=0.82%/523.2MiB / 4.804GiB ; kafka=0.93%/349.4MiB / 4.804GiB ; spark-master=0.19%/228.2MiB / 4.804GiB ; elasticsearch=9.25%/1.496GiB / 4.804GiB ; zookeeper=0.87%/85.88MiB / 4.804GiB
15:40:53,74.6,95.9,163,3,qdrant=0.07%/52.37MiB / 4.804GiB ; spark-worker=0.15%/222.2MiB / 4.804GiB ; kibana=3.63%/523.1MiB / 4.804GiB ; kafka=0.95%/349.4MiB / 4.804GiB ; spark-master=0.14%/228.2MiB / 4.804GiB ; elasticsearch=55.64%/1.496GiB / 4.804GiB ; zookeeper=0.14%/85.89MiB / 4.804GiB
15:40:58,61.9,95.5,156,2,qdrant=0.08%/52.37MiB / 4.804GiB ; spark-worker=0.15%/222.2MiB / 4.804GiB ; kibana=0.81%/522.8MiB / 4.804GiB ; kafka=1.09%/349.4MiB / 4.804GiB ; spark-master=0.17%/228.2MiB / 4.804GiB ; elasticsearch=15.11%/1.497GiB / 4.804GiB ; zookeeper=0.90%/85.89MiB / 4.804GiB
