seq,partition,offset,kafka_ts_ms,t_call_ms
0,0,0,1790154805828,1790154805704.341
2,0,1,1790154805829,1790154805829.146
5,0,2,1790154805829,1790154805829.146
6,0,3,1790154805829,1790154805829.708
10,0,4,1790154805829,1790154805829.708
11,0,5,1790154805829,1790154805829.708
12,0,6,1790154805829,1790154805829.708
15,0,7,1790154805830,1790154805830.298
17,0,8,1790154805830,1790154805830.298
18,0,9,1790154805830,1790154805830.298
20,0,10,1790154805830,1790154805830.298
21,0,11,1790154805830,1790154805830.298
23,0,12,1790154805830,1790154805830.298
26,0,13,1790154805830,1790154805830.896
27,0,14,1790154805830,1790154805830.896
34,0,15,1790154805831,1790154805831.448
36,0,16,1790154805831,1790154805831.448
37,0,17,1790154805831,1790154805831.448
38,0,18,1790154805831,1790154805831.448
41,0,19,1790154805831,1790154805831.448
42,0,20,1790154805832,1790154805831.448
43,0,21,1790154805832,1790154805832.046
45,0,22,1790154805832,1790154805832.046
47,0,23,1790154805832,1790154805832.046
48,0,24,1790154805832,1790154805832.046
49,0,25,1790154805832,1790154805832.046
51,0,26,1790154805832,1790154805832.046
1,1,0,1790154805829,1790154805829.146
3,1,1,1790154805829,1790154805829.146
4,1,2,1790154805829,1790154805829.146
7,1,3,1790154805829,1790154805829.708
8,1,4,1790154805829,1790154805829.708
9,1,5,1790154805829,1790154805829.708
13,1,6,1790154805829,1790154805829.708
14,1,7,1790154805829,1790154805829.708
16,1,8,1790154805830,1790154805830.298
19,1,9,1790154805830,1790154805830.298
22,1,10,1790154805830,1790154805830.298
24,1,11,1790154805830,1790154805830.298
25,1,12,1790154805830,1790154805830.896
28,1,13,1790154805830,1790154805830.896
29,1,14,1790154805830,1790154805830.896
30,1,15,1790154805830,1790154805830.896
31,1,16,1790154805830,1790154805830.896
32,1,17,1790154805830,1790154805830.896
33,1,18,1790154805830,1790154805830.896
35,1,19,1790154805831,1790154805831.448
39,1,20,1790154805831,1790154805831.448
40,1,21,1790154805831,1790154805831.448
44,1,22,1790154805832,1790154805832.046
46,1,23,1790154805832,1790154805832.046
50,1,24,1790154805832,1790154805832.046
53,1,25,1790154805832,1790154805832.642
57,1,26,1790154805832,1790154805832.642
52,0,27,1790154805832,1790154805832.046
54,0,28,1790154805832,1790154805832.642
55,0,29,1790154805832,1790154805832.642
56,0,30,1790154805832,1790154805832.642
58,0,31,1790154805832,1790154805832.642
61,0,32,1790154805833,1790154805833.165
62,0,33,1790154805833,1790154805833.165
63,0,34,1790154805833,1790154805833.165
67,0,35,1790154805833,1790154805833.165
68,0,36,1790154805833,1790154805833.165
69,0,37,1790154805833,1790154805833.165
72,0,38,1790154805833,1790154805833.727
74,0,39,1790154805833,1790154805833.727
76,0,40,1790154805833,1790154805833.727
82,0,41,1790154805834,1790154805834.315
83,0,42,1790154805834,1790154805834.315
85,0,43,1790154805834,1790154805834.315
86,0,44,1790154805834,1790154805834.83
89,0,45,1790154805834,1790154805834.83
91,0,46,1790154805843,1790154805843.104
93,0,47,1790154805843,1790154805843.104
94,0,48,1790154805843,1790154805843.104
95,0,49,1790154805843,1790154805843.104
98,0,50,1790154805843,1790154805843.104
59,1,27,1790154805832,1790154805832.642
60,1,28,1790154805833,1790154805833.165
64,1,29,1790154805833,1790154805833.165
65,1,30,1790154805833,1790154805833.165
66,1,31,1790154805833,1790154805833.165
70,1,32,1790154805833,1790154805833.727
71,1,33,1790154805833,1790154805833.727
73,1,34,1790154805833,1790154805833.727
75,1,35,1790154805833,1790154805833.727
77,1,36,1790154805833,1790154805833.727
78,1,37,1790154805834,1790154805833.727
79,1,38,1790154805834,1790154805834.315
80,1,39,1790154805834,1790154805834.315
81,1,40,1790154805834,1790154805834.315
84,1,41,1790154805834,1790154805834.315
87,1,42,1790154805834,1790154805834.83
88,1,43,1790154805834,1790154805834.83
90,1,44,1790154805835,1790154805834.83
92,1,45,1790154805843,1790154805843.104
96,1,46,1790154805843,1790154805843.104
97,1,47,1790154805843,1790154805843.104
99,1,48,1790154805843,1790154805843.104
