---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-231157_p1_c1_r3
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-231157_p1_c1_r3\bench_WIX_1.csv | node WIX | group grp_20260923-231157_p1_c1_r3
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  765.0ms | just to get rich...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   45.4ms | I mistyped because I have BIG hands lol...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   37.0ms | Hola...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   35.3ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   33.4ms | FIRST...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |   40.2ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   47.4ms | Let’s rideee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   62.1ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   41.7ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   37.5ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   47.0ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   51.7ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   33.8ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   80.1ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   37.8ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   38.3ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   36.6ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   38.0ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   30.3ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   61.3ms | shivu apun k papa mujko wada ki h shivu ...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   53.7ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
