time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:28:22,87.5,91.5,175,20,kafka=0.80%/496.9MiB / 4.804GiB ; elasticsearch=0.42%/1.531GiB / 4.804GiB ; zookeeper=0.16%/98.14MiB / 4.804GiB
23:28:26,39.4,94.5,162,30,kafka=0.91%/497.1MiB / 4.804GiB ; elasticsearch=0.73%/1.531GiB / 4.804GiB ; zookeeper=0.14%/98.14MiB / 4.804GiB
23:28:31,42.3,96.6,197,2,kafka=146.08%/579.1MiB / 4.804GiB ; elasticsearch=1.29%/1.531GiB / 4.804GiB ; zookeeper=0.59%/98.15MiB / 4.804GiB
23:28:35,24.6,96.7,209,9,kafka=0.88%/497MiB / 4.804GiB ; elasticsearch=0.45%/1.531GiB / 4.804GiB ; zookeeper=0.16%/98.14MiB / 4.804GiB
23:28:39,16.3,96.3,160,33,kafka=1.10%/496.8MiB / 4.804GiB ; elasticsearch=8.47%/1.532GiB / 4.804GiB ; zookeeper=0.42%/98.14MiB / 4.804GiB
23:28:44,50.5,96.5,141,33,kafka=0.89%/496.8MiB / 4.804GiB ; elasticsearch=6.72%/1.532GiB / 4.804GiB ; zookeeper=0.23%/98.14MiB / 4.804GiB
23:28:47,27.9,96.5,141,16,kafka=0.90%/496.8MiB / 4.804GiB ; elasticsearch=27.39%/1.533GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:28:52,29.1,97.0,148,0,kafka=150.19%/540.1MiB / 4.804GiB ; elasticsearch=5.85%/1.532GiB / 4.804GiB ; zookeeper=0.14%/98.14MiB / 4.804GiB
23:28:57,36.4,97.2,212,2,kafka=0.74%/496.8MiB / 4.804GiB ; elasticsearch=9.80%/1.533GiB / 4.804GiB ; zookeeper=0.14%/98.14MiB / 4.804GiB
23:29:01,23.6,97.0,163,0,kafka=0.75%/496.8MiB / 4.804GiB ; elasticsearch=7.00%/1.533GiB / 4.804GiB ; zookeeper=0.11%/98.14MiB / 4.804GiB
23:29:06,25.8,97.1,129,0,kafka=33.51%/496.8MiB / 4.804GiB ; elasticsearch=34.18%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:29:09,25.2,96.7,142,28,kafka=0.85%/496.8MiB / 4.804GiB ; elasticsearch=3.76%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:29:14,21.6,96.8,142,0,kafka=1.05%/497MiB / 4.804GiB ; elasticsearch=4.77%/1.533GiB / 4.804GiB ; zookeeper=0.52%/98.14MiB / 4.804GiB
23:29:17,27.0,97.2,142,0,kafka=0.79%/496.8MiB / 4.804GiB ; elasticsearch=4.41%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:29:22,20.4,96.8,142,0,kafka=0.92%/496.8MiB / 4.804GiB ; elasticsearch=4.68%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
