time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:36:55,0.0,86.0,188,1,kafka=1.36%/500.2MiB / 4.804GiB ; elasticsearch=0.42%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.19MiB / 4.804GiB
23:36:59,43.5,91.3,190,2,kafka=106.48%/501.1MiB / 4.804GiB ; elasticsearch=0.43%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:37:03,47.0,92.3,165,3,kafka=1.14%/500.2MiB / 4.804GiB ; elasticsearch=0.41%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:37:08,38.7,93.9,176,32,kafka=1.29%/500.4MiB / 4.804GiB ; elasticsearch=0.53%/1.538GiB / 4.804GiB ; zookeeper=0.51%/98.45MiB / 4.804GiB
23:37:12,16.9,94.1,157,33,kafka=1.21%/500.5MiB / 4.804GiB ; elasticsearch=7.63%/1.539GiB / 4.804GiB ; zookeeper=0.32%/98.19MiB / 4.804GiB
23:37:17,26.2,95.6,140,34,kafka=1.29%/500.5MiB / 4.804GiB ; elasticsearch=6.34%/1.539GiB / 4.804GiB ; zookeeper=0.15%/98.2MiB / 4.804GiB
23:37:22,38.0,95.4,140,17,kafka=185.76%/556.3MiB / 4.804GiB ; elasticsearch=17.83%/1.539GiB / 4.804GiB ; zookeeper=0.16%/98.2MiB / 4.804GiB
23:37:26,40.9,95.5,169,33,kafka=1.15%/500.5MiB / 4.804GiB ; elasticsearch=7.83%/1.54GiB / 4.804GiB ; zookeeper=0.22%/98.2MiB / 4.804GiB
23:37:31,53.0,96.3,221,33,kafka=1.00%/500.5MiB / 4.804GiB ; elasticsearch=9.27%/1.54GiB / 4.804GiB ; zookeeper=0.15%/98.19MiB / 4.804GiB
23:37:35,53.6,96.5,176,33,kafka=1.47%/500.5MiB / 4.804GiB ; elasticsearch=6.10%/1.54GiB / 4.804GiB ; zookeeper=0.35%/98.2MiB / 4.804GiB
23:37:39,34.3,96.0,156,37,kafka=1.10%/500.5MiB / 4.804GiB ; elasticsearch=9.41%/1.54GiB / 4.804GiB ; zookeeper=0.15%/98.2MiB / 4.804GiB
23:37:43,29.5,95.7,154,16,kafka=0.94%/500.5MiB / 4.804GiB ; elasticsearch=4.02%/1.539GiB / 4.804GiB ; zookeeper=0.73%/98.19MiB / 4.804GiB
23:37:48,33.6,95.8,183,2,kafka=0.89%/500.6MiB / 4.804GiB ; elasticsearch=4.58%/1.54GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:37:52,27.7,96.1,182,1,kafka=1.63%/500.6MiB / 4.804GiB ; elasticsearch=5.40%/1.54GiB / 4.804GiB ; zookeeper=0.71%/98.19MiB / 4.804GiB
23:37:57,26.0,95.8,156,1,kafka=58.61%/500.5MiB / 4.804GiB ; elasticsearch=3.67%/1.54GiB / 4.804GiB ; zookeeper=0.45%/98.19MiB / 4.804GiB
23:38:01,29.6,95.5,162,8,kafka=0.75%/500.5MiB / 4.804GiB ; elasticsearch=3.95%/1.54GiB / 4.804GiB ; zookeeper=0.54%/98.2MiB / 4.804GiB
23:38:06,26.0,95.7,157,6,kafka=0.79%/500.5MiB / 4.804GiB ; elasticsearch=4.47%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.19MiB / 4.804GiB
23:38:10,30.7,95.9,163,1,kafka=0.90%/500.5MiB / 4.804GiB ; elasticsearch=4.18%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:38:14,21.9,95.6,155,2,kafka=0.82%/500.5MiB / 4.804GiB ; elasticsearch=4.08%/1.54GiB / 4.804GiB ; zookeeper=0.22%/98.19MiB / 4.804GiB
23:38:18,23.0,95.7,155,3,kafka=115.77%/574.8MiB / 4.804GiB ; elasticsearch=3.78%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:38:22,26.3,95.3,159,2,kafka=0.77%/500.5MiB / 4.804GiB ; elasticsearch=3.73%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:38:27,22.4,95.2,156,2,kafka=0.90%/500.5MiB / 4.804GiB ; elasticsearch=3.98%/1.54GiB / 4.804GiB ; zookeeper=0.10%/98.2MiB / 4.804GiB
23:38:31,45.6,96.2,163,6,kafka=1.75%/500.5MiB / 4.804GiB ; elasticsearch=4.40%/1.54GiB / 4.804GiB ; zookeeper=0.45%/98.2MiB / 4.804GiB
23:38:36,20.6,95.8,159,2,kafka=0.89%/500.6MiB / 4.804GiB ; elasticsearch=4.55%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:38:40,22.6,95.8,163,2,kafka=110.77%/542.2MiB / 4.804GiB ; elasticsearch=3.69%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:38:44,31.3,96.0,156,2,kafka=0.88%/500.6MiB / 4.804GiB ; elasticsearch=4.38%/1.54GiB / 4.804GiB ; zookeeper=0.53%/98.21MiB / 4.804GiB
23:38:48,19.7,95.9,158,2,kafka=1.17%/500.6MiB / 4.804GiB ; elasticsearch=4.68%/1.54GiB / 4.804GiB ; zookeeper=0.50%/98.21MiB / 4.804GiB
23:38:52,23.1,95.8,161,2,kafka=47.21%/500.6MiB / 4.804GiB ; elasticsearch=6.51%/1.54GiB / 4.804GiB ; zookeeper=0.76%/98.21MiB / 4.804GiB
23:38:57,30.9,95.7,156,2,kafka=0.71%/500.6MiB / 4.804GiB ; elasticsearch=3.90%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:39:01,24.2,95.6,160,7,kafka=15.20%/514.5MiB / 4.804GiB ; elasticsearch=7.11%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:39:06,29.0,96.0,156,5,kafka=0.90%/500.6MiB / 4.804GiB ; elasticsearch=3.71%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:39:10,20.4,95.7,161,1,kafka=0.85%/500.6MiB / 4.804GiB ; elasticsearch=4.26%/1.54GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:39:14,22.8,95.4,157,2,kafka=113.80%/578.8MiB / 4.804GiB ; elasticsearch=3.54%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:39:18,28.8,95.6,158,3,kafka=1.03%/500.6MiB / 4.804GiB ; elasticsearch=6.23%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:39:22,21.2,95.4,163,1,kafka=0.77%/500.8MiB / 4.804GiB ; elasticsearch=3.75%/1.54GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:39:27,25.6,95.8,157,1,kafka=0.84%/500.5MiB / 4.804GiB ; elasticsearch=4.18%/1.54GiB / 4.804GiB ; zookeeper=0.10%/98.2MiB / 4.804GiB
23:39:31,21.5,95.4,161,6,kafka=1.79%/500.9MiB / 4.804GiB ; elasticsearch=3.98%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:39:36,20.2,95.3,155,2,kafka=72.98%/535.4MiB / 4.804GiB ; elasticsearch=3.41%/1.54GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:39:40,30.9,95.7,159,2,kafka=0.80%/500.9MiB / 4.804GiB ; elasticsearch=4.02%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:39:44,21.6,95.3,156,1,kafka=0.86%/500.9MiB / 4.804GiB ; elasticsearch=4.39%/1.54GiB / 4.804GiB ; zookeeper=0.49%/98.21MiB / 4.804GiB
23:39:48,24.6,95.4,157,3,kafka=74.29%/501.1MiB / 4.804GiB ; elasticsearch=5.57%/1.54GiB / 4.804GiB ; zookeeper=0.19%/98.2MiB / 4.804GiB
23:39:52,25.5,95.6,163,5,kafka=0.62%/501.1MiB / 4.804GiB ; elasticsearch=4.31%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:39:57,18.5,95.1,158,2,kafka=1.23%/503.4MiB / 4.804GiB ; elasticsearch=4.28%/1.54GiB / 4.804GiB ; zookeeper=0.15%/98.21MiB / 4.804GiB
23:40:02,35.8,95.5,164,3,kafka=0.65%/502.8MiB / 4.804GiB ; elasticsearch=3.75%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:40:06,19.0,95.2,155,2,kafka=0.85%/502.8MiB / 4.804GiB ; elasticsearch=3.78%/1.54GiB / 4.804GiB ; zookeeper=0.15%/98.2MiB / 4.804GiB
23:40:10,24.2,95.1,162,2,kafka=177.62%/583MiB / 4.804GiB ; elasticsearch=3.16%/1.54GiB / 4.804GiB ; zookeeper=0.19%/98.2MiB / 4.804GiB
23:40:14,32.2,95.4,155,2,kafka=0.76%/503MiB / 4.804GiB ; elasticsearch=3.98%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:40:18,22.7,95.2,156,2,kafka=0.96%/502.7MiB / 4.804GiB ; elasticsearch=4.33%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:40:23,27.6,95.2,160,5,kafka=0.83%/502.7MiB / 4.804GiB ; elasticsearch=3.67%/1.54GiB / 4.804GiB ; zookeeper=0.58%/98.21MiB / 4.804GiB
23:40:27,21.4,95.2,157,5,kafka=0.95%/503MiB / 4.804GiB ; elasticsearch=4.80%/1.54GiB / 4.804GiB ; zookeeper=0.53%/98.2MiB / 4.804GiB
23:40:32,20.1,95.2,162,3,kafka=167.66%/559.6MiB / 4.804GiB ; elasticsearch=4.00%/1.54GiB / 4.804GiB ; zookeeper=0.54%/98.21MiB / 4.804GiB
23:40:36,25.7,95.2,157,2,kafka=0.83%/502.7MiB / 4.804GiB ; elasticsearch=3.71%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:40:40,22.1,95.0,165,1,kafka=1.02%/502.7MiB / 4.804GiB ; elasticsearch=3.83%/1.54GiB / 4.804GiB ; zookeeper=0.53%/98.2MiB / 4.804GiB
23:40:44,24.3,95.1,158,2,kafka=89.71%/502.7MiB / 4.804GiB ; elasticsearch=4.28%/1.541GiB / 4.804GiB ; zookeeper=0.25%/98.2MiB / 4.804GiB
23:40:48,24.2,95.4,159,3,kafka=0.77%/502.7MiB / 4.804GiB ; elasticsearch=3.88%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:40:53,19.1,95.1,163,5,kafka=0.60%/502.7MiB / 4.804GiB ; elasticsearch=3.58%/1.54GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:40:57,26.0,95.2,159,2,kafka=0.72%/502.7MiB / 4.804GiB ; elasticsearch=3.95%/1.54GiB / 4.804GiB ; zookeeper=0.17%/98.21MiB / 4.804GiB
23:41:02,19.9,95.2,161,4,kafka=0.62%/502.7MiB / 4.804GiB ; elasticsearch=4.03%/1.54GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
