node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,16640,20260923-234455_p2_c2_r3,1,perf_20260923-234455_p2_c2_r3,1,0,1790199896583,0,1790199927017.842,733.082,263.031,1790199928015.458,Normal,0.9452
WIX,16640,20260923-234455_p2_c2_r3,3,perf_20260923-234455_p2_c2_r3,1,1,1790199896583,0,1790199928016.454,41.693,6.999,1790199928065.146,Normal,0.9685
WIX,16640,20260923-234455_p2_c2_r3,4,perf_20260923-234455_p2_c2_r3,1,2,1790199896584,0,1790199928065.146,35.729,46.415,1790199928147.291,Normal,0.9588
WIX,16640,20260923-234455_p2_c2_r3,7,perf_20260923-234455_p2_c2_r3,1,3,1790199896584,0,1790199928147.63,48.417,48.659,1790199928245.464,Normal,0.9439
WIX,16640,20260923-234455_p2_c2_r3,8,perf_20260923-234455_p2_c2_r3,1,4,1790199896584,0,1790199928246.06,33.377,49.942,1790199928329.379,Normal,0.8636
WIX,16640,20260923-234455_p2_c2_r3,9,perf_20260923-234455_p2_c2_r3,1,5,1790199896584,0,1790199928329.379,46.865,48.085,1790199928424.33,Normal,0.9297
WIX,16640,20260923-234455_p2_c2_r3,13,perf_20260923-234455_p2_c2_r3,1,6,1790199896585,0,1790199928424.33,115.597,43.985,1790199928584.916,Normal,0.9557
WIX,16640,20260923-234455_p2_c2_r3,14,perf_20260923-234455_p2_c2_r3,1,7,1790199896585,0,1790199928585.918,72.014,48.659,1790199928707.301,Normal,0.9029
WIX,16640,20260923-234455_p2_c2_r3,16,perf_20260923-234455_p2_c2_r3,1,8,1790199896585,0,1790199928707.301,70.29,49.883,1790199928828.016,Normal,0.9747
WIX,16640,20260923-234455_p2_c2_r3,19,perf_20260923-234455_p2_c2_r3,1,9,1790199896585,0,1790199928829.022,68.878,44.158,1790199928942.059,Normal,0.9675
WIX,16640,20260923-234455_p2_c2_r3,22,perf_20260923-234455_p2_c2_r3,1,10,1790199896585,0,1790199928942.059,160.232,48.694,1790199929150.985,Normal,0.9286
WIX,16640,20260923-234455_p2_c2_r3,24,perf_20260923-234455_p2_c2_r3,1,11,1790199896585,0,1790199929150.985,41.045,46.005,1790199929238.035,Normal,0.9411
WIX,16640,20260923-234455_p2_c2_r3,25,perf_20260923-234455_p2_c2_r3,1,12,1790199896585,0,1790199929239.061,33.952,46.951,1790199929319.963,Normal,0.6054
WIX,16640,20260923-234455_p2_c2_r3,28,perf_20260923-234455_p2_c2_r3,1,13,1790199896585,0,1790199929319.963,27.335,46.603,1790199929394.39,Normal,0.9447
WIX,16640,20260923-234455_p2_c2_r3,29,perf_20260923-234455_p2_c2_r3,1,14,1790199896585,0,1790199929394.39,65.922,43.024,1790199929503.336,Normal,0.9553
WIX,16640,20260923-234455_p2_c2_r3,30,perf_20260923-234455_p2_c2_r3,1,15,1790199896586,0,1790199929504.339,33.731,43.104,1790199929581.174,Normal,0.9605
WIX,16640,20260923-234455_p2_c2_r3,31,perf_20260923-234455_p2_c2_r3,1,16,1790199896586,0,1790199929582.183,95.419,45.609,1790199929723.211,HATE,0.5241
WIX,16640,20260923-234455_p2_c2_r3,32,perf_20260923-234455_p2_c2_r3,1,17,1790199896586,0,1790199929723.211,33.002,47.404,1790199929804.615,Normal,0.9683
WIX,16640,20260923-234455_p2_c2_r3,33,perf_20260923-234455_p2_c2_r3,1,18,1790199896586,0,1790199929804.615,58.769,48.486,1790199929911.871,Normal,0.9351
WIX,16640,20260923-234455_p2_c2_r3,35,perf_20260923-234455_p2_c2_r3,1,19,1790199896586,0,1790199929912.902,51.812,47.647,1790199930012.362,Normal,0.9791
WIX,16640,20260923-234455_p2_c2_r3,39,perf_20260923-234455_p2_c2_r3,1,20,1790199896586,0,1790199930012.362,32.133,47.395,1790199930091.89,Normal,0.9641
WIX,16640,20260923-234455_p2_c2_r3,40,perf_20260923-234455_p2_c2_r3,1,21,1790199896586,0,1790199930092.896,33.586,47.926,1790199930174.408,Normal,0.9018
WIX,16640,20260923-234455_p2_c2_r3,44,perf_20260923-234455_p2_c2_r3,1,22,1790199896586,0,1790199930174.408,33.056,45.388,1790199930252.853,Normal,0.8797
WIX,16640,20260923-234455_p2_c2_r3,46,perf_20260923-234455_p2_c2_r3,1,23,1790199896586,0,1790199930253.857,55.822,46.839,1790199930356.518,Normal,0.8951
WIX,16640,20260923-234455_p2_c2_r3,50,perf_20260923-234455_p2_c2_r3,1,24,1790199896587,0,1790199930357.519,68.301,46.124,1790199930471.943,Normal,0.9754
WIX,16640,20260923-234455_p2_c2_r3,53,perf_20260923-234455_p2_c2_r3,1,25,1790199896587,0,1790199930471.943,46.577,48.652,1790199930567.173,Normal,0.9739
WIX,16640,20260923-234455_p2_c2_r3,57,perf_20260923-234455_p2_c2_r3,1,26,1790199896587,0,1790199930568.176,43.054,44.488,1790199930655.717,Normal,0.5773
WIX,16640,20260923-234455_p2_c2_r3,59,perf_20260923-234455_p2_c2_r3,1,27,1790199896588,0,1790199930656.729,67.647,44.502,1790199930769.878,Normal,0.9787
WIX,16640,20260923-234455_p2_c2_r3,60,perf_20260923-234455_p2_c2_r3,1,28,1790199896588,0,1790199930770.84,29.528,43.85,1790199930845.216,Normal,0.5606
WIX,16640,20260923-234455_p2_c2_r3,64,perf_20260923-234455_p2_c2_r3,1,29,1790199896588,0,1790199930845.216,35.226,52.745,1790199930933.188,Normal,0.9683
