node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,15716,20260925-124022_p1_c1_cuda_r1,0,perf_20260925-124022_p1_c1_cuda_r1,0,0,1790332823527,0,1790332840267.729,451.881,595.301,1790332841316.06,Normal,0.9501
WIX,15716,20260925-124022_p1_c1_cuda_r1,1,perf_20260925-124022_p1_c1_cuda_r1,0,1,1790332823528,0,1790332841316.648,27.17,88.897,1790332841432.714,Normal,0.9452
WIX,15716,20260925-124022_p1_c1_cuda_r1,2,perf_20260925-124022_p1_c1_cuda_r1,0,2,1790332823528,0,1790332841433.697,9.171,6.444,1790332841449.312,Normal,0.9403
WIX,15716,20260925-124022_p1_c1_cuda_r1,3,perf_20260925-124022_p1_c1_cuda_r1,0,3,1790332823528,0,1790332841449.312,7.036,45.608,1790332841503.031,Normal,0.9685
WIX,15716,20260925-124022_p1_c1_cuda_r1,4,perf_20260925-124022_p1_c1_cuda_r1,0,4,1790332823528,0,1790332841503.031,7.51,46.904,1790332841558.449,Normal,0.9588
WIX,15716,20260925-124022_p1_c1_cuda_r1,5,perf_20260925-124022_p1_c1_cuda_r1,0,5,1790332823528,0,1790332841558.449,7.978,50.647,1790332841617.074,OFFENSIVE,0.5445
WIX,15716,20260925-124022_p1_c1_cuda_r1,6,perf_20260925-124022_p1_c1_cuda_r1,0,6,1790332823529,0,1790332841617.074,8.772,48.108,1790332841673.954,Normal,0.9157
WIX,15716,20260925-124022_p1_c1_cuda_r1,7,perf_20260925-124022_p1_c1_cuda_r1,0,7,1790332823529,0,1790332841673.954,10.999,44.027,1790332841729.978,Normal,0.9439
WIX,15716,20260925-124022_p1_c1_cuda_r1,8,perf_20260925-124022_p1_c1_cuda_r1,0,8,1790332823529,0,1790332841730.979,7.383,46.036,1790332841785.714,Normal,0.8636
WIX,15716,20260925-124022_p1_c1_cuda_r1,9,perf_20260925-124022_p1_c1_cuda_r1,0,9,1790332823529,0,1790332841786.743,6.967,49.594,1790332841843.304,Normal,0.9297
WIX,15716,20260925-124022_p1_c1_cuda_r1,10,perf_20260925-124022_p1_c1_cuda_r1,0,10,1790332823529,0,1790332841843.304,8.003,48.775,1790332841901.078,Normal,0.8199
WIX,15716,20260925-124022_p1_c1_cuda_r1,11,perf_20260925-124022_p1_c1_cuda_r1,0,11,1790332823529,0,1790332841901.078,11.009,49.533,1790332841962.542,OFFENSIVE,0.6827
WIX,15716,20260925-124022_p1_c1_cuda_r1,12,perf_20260925-124022_p1_c1_cuda_r1,0,12,1790332823529,0,1790332841963.536,7.0,47.887,1790332842019.262,Normal,0.9532
WIX,15716,20260925-124022_p1_c1_cuda_r1,13,perf_20260925-124022_p1_c1_cuda_r1,0,13,1790332823529,0,1790332842020.291,9.364,46.383,1790332842076.038,Normal,0.9557
WIX,15716,20260925-124022_p1_c1_cuda_r1,14,perf_20260925-124022_p1_c1_cuda_r1,0,14,1790332823529,0,1790332842077.037,9.126,46.952,1790332842133.661,Normal,0.9029
WIX,15716,20260925-124022_p1_c1_cuda_r1,15,perf_20260925-124022_p1_c1_cuda_r1,0,15,1790332823529,0,1790332842134.661,6.402,48.388,1790332842190.452,Normal,0.7288
WIX,15716,20260925-124022_p1_c1_cuda_r1,16,perf_20260925-124022_p1_c1_cuda_r1,0,16,1790332823529,0,1790332842190.452,7.96,46.649,1790332842245.061,Normal,0.9747
WIX,15716,20260925-124022_p1_c1_cuda_r1,17,perf_20260925-124022_p1_c1_cuda_r1,0,17,1790332823529,0,1790332842245.061,12.294,48.147,1790332842307.688,Normal,0.9669
WIX,15716,20260925-124022_p1_c1_cuda_r1,18,perf_20260925-124022_p1_c1_cuda_r1,0,18,1790332823530,0,1790332842308.695,6.997,45.136,1790332842361.83,Normal,0.9406
WIX,15716,20260925-124022_p1_c1_cuda_r1,19,perf_20260925-124022_p1_c1_cuda_r1,0,19,1790332823530,0,1790332842362.338,9.683,44.788,1790332842477.38,Normal,0.9675
WIX,15716,20260925-124022_p1_c1_cuda_r1,20,perf_20260925-124022_p1_c1_cuda_r1,0,20,1790332823530,0,1790332842477.38,11.372,51.064,1790332842539.816,Normal,0.9603
WIX,15716,20260925-124022_p1_c1_cuda_r1,21,perf_20260925-124022_p1_c1_cuda_r1,0,21,1790332823530,0,1790332842539.816,8.259,45.376,1790332842594.604,Normal,0.9126
WIX,15716,20260925-124022_p1_c1_cuda_r1,22,perf_20260925-124022_p1_c1_cuda_r1,0,22,1790332823530,0,1790332842594.604,14.008,46.386,1790332842656.043,Normal,0.9286
WIX,15716,20260925-124022_p1_c1_cuda_r1,23,perf_20260925-124022_p1_c1_cuda_r1,0,23,1790332823530,0,1790332842656.043,8.134,45.767,1790332842710.95,Normal,0.9264
WIX,15716,20260925-124022_p1_c1_cuda_r1,24,perf_20260925-124022_p1_c1_cuda_r1,0,24,1790332823530,0,1790332842710.95,8.092,44.369,1790332842764.63,Normal,0.9411
WIX,15716,20260925-124022_p1_c1_cuda_r1,25,perf_20260925-124022_p1_c1_cuda_r1,0,25,1790332823530,0,1790332842765.644,7.638,53.126,1790332842826.408,Normal,0.6054
WIX,15716,20260925-124022_p1_c1_cuda_r1,26,perf_20260925-124022_p1_c1_cuda_r1,0,26,1790332823530,0,1790332842826.408,7.004,44.886,1790332842879.302,Normal,0.8983
