---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-125301_p1_c1_cuda_r2
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cuda...
-> GPU: NVIDIA GeForce GTX 1650 with Max-Q Design
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-125301_p1_c1_cuda_r2\bench_WIX_1.csv | node WIX | group grp_20260925-125301_p1_c1_cuda_r2
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  218.9ms | just to get rich...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   22.0ms | I mistyped because I have BIG hands lol...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |    7.5ms | Hola...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |    7.5ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.3ms | FIRST...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |   10.0ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |    9.0ms | Let’s rideee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |    8.1ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   12.1ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   14.0ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   10.6ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   11.7ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |    9.1ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    8.6ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |    8.0ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   10.6ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   13.9ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    7.2ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    7.1ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   10.0ms | shivu apun k papa mujko wada ki h shivu ...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   11.2ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |    8.5ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   14.0ms | :elbowcough::elbowcough::elbowcough::elb...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    8.0ms | ok this peanut has a lil season to him b...
