time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
12:53:09,0.0,63.2,173,10,kafka=0.85%/537.7MiB / 4.804GiB ; elasticsearch=1.39%/1.512GiB / 4.804GiB ; zookeeper=0.18%/91.2MiB / 4.804GiB
12:53:13,24.3,67.2,172,0,kafka=0.50%/537.7MiB / 4.804GiB ; elasticsearch=0.34%/1.512GiB / 4.804GiB ; zookeeper=0.10%/91.2MiB / 4.804GiB
12:53:18,21.6,68.5,177,1,kafka=2.17%/538MiB / 4.804GiB ; elasticsearch=1.74%/1.513GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:53:22,12.5,70.5,537,0,kafka=1.83%/537.8MiB / 4.804GiB ; elasticsearch=19.03%/1.513GiB / 4.804GiB ; zookeeper=0.13%/91.21MiB / 4.804GiB
12:53:26,21.9,71.4,536,33,kafka=0.71%/537.8MiB / 4.804GiB ; elasticsearch=7.56%/1.513GiB / 4.804GiB ; zookeeper=0.26%/91.2MiB / 4.804GiB
12:53:31,13.3,71.4,536,30,kafka=0.73%/537.8MiB / 4.804GiB ; elasticsearch=12.72%/1.513GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:53:35,18.0,71.6,535,30,kafka=0.92%/537.8MiB / 4.804GiB ; elasticsearch=5.54%/1.514GiB / 4.804GiB ; zookeeper=0.10%/91.2MiB / 4.804GiB
12:53:39,13.6,71.3,540,32,kafka=0.71%/537.8MiB / 4.804GiB ; elasticsearch=7.49%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:53:44,12.6,71.3,536,29,kafka=162.85%/613.6MiB / 4.804GiB ; elasticsearch=5.62%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:53:48,20.7,71.4,536,29,kafka=0.97%/537.8MiB / 4.804GiB ; elasticsearch=3.63%/1.514GiB / 4.804GiB ; zookeeper=0.52%/91.21MiB / 4.804GiB
12:53:53,12.0,71.3,540,28,kafka=56.07%/567.2MiB / 4.804GiB ; elasticsearch=2.70%/1.514GiB / 4.804GiB ; zookeeper=0.59%/91.21MiB / 4.804GiB
12:53:57,22.8,71.0,537,29,kafka=1.08%/537.8MiB / 4.804GiB ; elasticsearch=2.48%/1.514GiB / 4.804GiB ; zookeeper=0.50%/91.21MiB / 4.804GiB
12:54:01,16.7,71.0,537,28,kafka=0.59%/537.8MiB / 4.804GiB ; elasticsearch=2.55%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:54:05,14.8,71.0,535,29,kafka=119.63%/611.6MiB / 4.804GiB ; elasticsearch=2.51%/1.514GiB / 4.804GiB ; zookeeper=0.17%/91.21MiB / 4.804GiB
12:54:09,20.2,71.1,537,34,kafka=0.92%/537.8MiB / 4.804GiB ; elasticsearch=3.06%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:54:14,9.9,71.1,537,29,kafka=0.65%/537.8MiB / 4.804GiB ; elasticsearch=2.76%/1.514GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:54:18,20.1,71.2,537,30,kafka=0.70%/537.8MiB / 4.804GiB ; elasticsearch=2.81%/1.514GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:54:23,11.0,71.2,537,31,kafka=0.61%/537.8MiB / 4.804GiB ; elasticsearch=2.78%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:54:27,15.8,71.1,536,29,kafka=123.87%/614.5MiB / 4.804GiB ; elasticsearch=2.45%/1.514GiB / 4.804GiB ; zookeeper=0.19%/91.21MiB / 4.804GiB
12:54:31,23.6,71.2,537,29,kafka=1.11%/537.8MiB / 4.804GiB ; elasticsearch=4.59%/1.514GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:54:35,14.0,70.9,534,32,kafka=0.92%/537.8MiB / 4.804GiB ; elasticsearch=2.58%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:54:39,20.1,71.1,536,33,kafka=0.88%/537.8MiB / 4.804GiB ; elasticsearch=3.04%/1.514GiB / 4.804GiB ; zookeeper=0.50%/91.24MiB / 4.804GiB
12:54:44,13.6,71.1,536,28,kafka=0.89%/537.8MiB / 4.804GiB ; elasticsearch=2.67%/1.514GiB / 4.804GiB ; zookeeper=1.59%/91.21MiB / 4.804GiB
12:54:48,15.1,71.2,534,31,kafka=145.32%/593.9MiB / 4.804GiB ; elasticsearch=2.49%/1.514GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:54:53,16.9,71.2,536,30,kafka=0.85%/537.8MiB / 4.804GiB ; elasticsearch=2.61%/1.514GiB / 4.804GiB ; zookeeper=0.55%/91.31MiB / 4.804GiB
12:54:57,12.1,71.2,538,29,kafka=0.64%/537.8MiB / 4.804GiB ; elasticsearch=2.73%/1.514GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:55:01,20.4,71.3,540,28,kafka=0.53%/537.8MiB / 4.804GiB ; elasticsearch=2.58%/1.514GiB / 4.804GiB ; zookeeper=0.17%/91.21MiB / 4.804GiB
12:55:05,17.8,71.1,533,32,kafka=0.61%/537.8MiB / 4.804GiB ; elasticsearch=3.12%/1.514GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:55:09,12.8,70.9,536,31,kafka=57.45%/570.2MiB / 4.804GiB ; elasticsearch=2.19%/1.514GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:55:14,16.8,71.3,536,30,kafka=0.66%/538MiB / 4.804GiB ; elasticsearch=2.74%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:55:18,15.1,71.2,538,31,kafka=0.76%/538.2MiB / 4.804GiB ; elasticsearch=2.57%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.21MiB / 4.804GiB
12:55:23,16.1,71.2,538,29,kafka=0.74%/538MiB / 4.804GiB ; elasticsearch=2.62%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:55:27,14.0,71.2,538,29,kafka=0.68%/538.9MiB / 4.804GiB ; elasticsearch=4.30%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:55:31,10.7,71.2,538,30,kafka=99.76%/582.6MiB / 4.804GiB ; elasticsearch=2.33%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.21MiB / 4.804GiB
12:55:35,17.7,71.3,533,32,kafka=0.86%/538.9MiB / 4.804GiB ; elasticsearch=3.13%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:55:39,11.7,71.1,537,29,kafka=0.62%/538.9MiB / 4.804GiB ; elasticsearch=2.78%/1.515GiB / 4.804GiB ; zookeeper=0.48%/91.21MiB / 4.804GiB
