time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:05:33,0.0,64.5,150,0,kafka=0.85%/546.8MiB / 4.804GiB ; elasticsearch=0.35%/1.518GiB / 4.804GiB ; zookeeper=0.14%/91.29MiB / 4.804GiB
13:05:37,26.8,68.1,155,2,kafka=0.67%/546.3MiB / 4.804GiB ; elasticsearch=0.37%/1.518GiB / 4.804GiB ; zookeeper=0.12%/91.29MiB / 4.804GiB
13:05:41,19.7,68.9,158,1,kafka=0.73%/546.3MiB / 4.804GiB ; elasticsearch=0.41%/1.518GiB / 4.804GiB ; zookeeper=0.13%/91.29MiB / 4.804GiB
13:05:45,14.8,70.6,499,0,kafka=5.71%/546.6MiB / 4.804GiB ; elasticsearch=29.10%/1.519GiB / 4.804GiB ; zookeeper=0.47%/91.29MiB / 4.804GiB
13:05:50,17.0,72.3,523,6,kafka=0.79%/546.6MiB / 4.804GiB ; elasticsearch=6.66%/1.519GiB / 4.804GiB ; zookeeper=0.58%/91.29MiB / 4.804GiB
13:05:54,13.1,72.3,522,31,kafka=0.92%/546.4MiB / 4.804GiB ; elasticsearch=3.93%/1.519GiB / 4.804GiB ; zookeeper=0.50%/91.29MiB / 4.804GiB
13:05:59,21.2,72.3,526,33,kafka=0.55%/546.4MiB / 4.804GiB ; elasticsearch=3.81%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:03,13.1,72.4,527,30,kafka=0.65%/546.4MiB / 4.804GiB ; elasticsearch=4.38%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:07,19.1,72.4,523,28,kafka=1.60%/546.4MiB / 4.804GiB ; elasticsearch=18.72%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:12,15.5,72.4,523,30,kafka=0.93%/546.4MiB / 4.804GiB ; elasticsearch=5.91%/1.52GiB / 4.804GiB ; zookeeper=0.15%/91.29MiB / 4.804GiB
13:06:15,16.0,72.7,522,30,kafka=0.54%/546.4MiB / 4.804GiB ; elasticsearch=2.49%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:20,21.8,72.5,523,30,kafka=0.61%/546.4MiB / 4.804GiB ; elasticsearch=2.43%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:24,14.7,72.6,518,32,kafka=0.59%/546.4MiB / 4.804GiB ; elasticsearch=2.62%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:29,17.3,72.7,523,32,kafka=1.23%/546.4MiB / 4.804GiB ; elasticsearch=2.50%/1.52GiB / 4.804GiB ; zookeeper=0.09%/91.29MiB / 4.804GiB
13:06:33,16.0,72.7,522,31,kafka=0.66%/546.4MiB / 4.804GiB ; elasticsearch=2.60%/1.52GiB / 4.804GiB ; zookeeper=0.11%/91.29MiB / 4.804GiB
13:06:37,13.2,72.1,523,30,kafka=0.68%/546.4MiB / 4.804GiB ; elasticsearch=3.36%/1.52GiB / 4.804GiB ; zookeeper=0.14%/91.29MiB / 4.804GiB
13:06:42,23.7,72.6,526,28,kafka=0.73%/546.4MiB / 4.804GiB ; elasticsearch=4.85%/1.52GiB / 4.804GiB ; zookeeper=0.15%/91.29MiB / 4.804GiB
13:06:45,12.5,72.8,525,32,kafka=0.80%/546.4MiB / 4.804GiB ; elasticsearch=2.62%/1.52GiB / 4.804GiB ; zookeeper=0.57%/91.32MiB / 4.804GiB
13:06:50,12.3,72.6,523,29,kafka=40.01%/546.5MiB / 4.804GiB ; elasticsearch=2.88%/1.52GiB / 4.804GiB ; zookeeper=0.08%/91.29MiB / 4.804GiB
