---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-151752_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-151752_p4_c4_r1\bench_WIX_3.csv | node WIX | group grp_20260925-151752_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  853.4ms | I mistyped because I have BIG hands lol...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   65.1ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   68.9ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   70.7ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   74.8ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   58.2ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   54.1ms | Great song...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   48.6ms | THE KING HAS RETURNED...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 57%    |   68.8ms | SHESSSSHHHH LETS GOOO EARLY AS HELL...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   55.5ms | We are so fkn back...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   47.2ms | 19 hours...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   59.2ms | HUTCH HAS MADE OFF WITH 1000 SCRAP...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   56.4ms | Gingys built different...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   85.4ms | Yes rust will do that to you I haven’t p...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   70.1ms | G ey area lo park chesav ?:baseball-whit...
[PSYCHOLOGY] | YouTube  | [Normal]     | 84%    |   60.8ms | jungian punch...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 35%    |   84.9ms | my OG GOAT GAMER H20!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   76.4ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   51.2ms | Watch the zone...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   63.3ms | Vanoss crew og member...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   71.2ms | BRUH THAT DOORFRAME BEEN TWIG FOR 24HRS...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   66.9ms | Padathi spelling correct ga chepara firs...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   93.8ms | dream sam na :face_with_tears_of_joy:...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   97.4ms | suz saaanu peru sam :face_with_tears_of_...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   77.1ms | I don't think you can work out even simp...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   65.9ms | MOTION...
[NEWS/LIVE ] | YouTube  | [Normal]     | 91%    |   43.8ms | that means trump goes to jail for his cr...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   77.3ms | D same dialogue cheppi force chesthe vac...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   45.6ms | Helf is Welf...
[NEWS/LIVE ] | YouTube  | [Normal]     | 89%    |   50.5ms | you know it's 2026 this world is like la...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   46.0ms | Tim was doing the wheeel yesterday...
[GAMING/SUR] | YouTube  | [Normal]     | 69%    |   38.3ms | battleShits...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   28.0ms | 5...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   57.2ms | Yes it’s him...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   43.2ms | Vani kaise :thinking_face:...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   47.2ms | no way h20 is there lmao...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   29.0ms | HAHAHA...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   33.0ms | lmqo...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   51.6ms | usual gambling scene continue!!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   45.0ms | :face-green-smiling::face-green-smiling:...
[PSYCHOLOGY] | YouTube  | [Normal]     | 92%    |   48.9ms | the meditation index is lowkey the best ...
[GAMING/SUR] | YouTube  | [Normal]     | 74%    |   45.5ms | noooooo Deliriousss...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   38.8ms | don't swing at people there  lol...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   70.9ms | Never thought I’d see H2O Delirious and ...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   40.8ms | lol...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   42.9ms | It’s rigged...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   39.9ms | gonna lose...
[PSYCHOLOGY] | YouTube  | [Normal]     | 85%    |   57.3ms | called you out...
